Date,Voltage,No. of Electrodes,Spacing between electrode (mm),Time,Turbidity
18/12/2024,20,6,20,15,36.88
18/12/2024,20,6,20,20,26.62
18/12/2024,20,6,20,25,14.67
18/12/2024,20,6,20,30,5.43
18/12/2024,20,6,20,35,2.55
18/12/2024,20,6,20,40,0.33
21/1/2025,20,6,20,0,75.84
21/1/2025,20,6,20,5,57.75
21/1/2025,20,6,20,10,55.5
21/1/2025,20,6,20,15,45.84
21/1/2025,20,6,20,20,34.22
21/1/2025,20,6,20,25,25.02
21/1/2025,20,6,20,30,11.5
21/1/2025,20,6,20,35,4.14
21/1/2025,20,6,20,40,0.33
29/10/2025,20,6,20,0,82.36
29/10/2025,20,6,20,5,65.29
29/10/2025,20,6,20,10,48.81
29/10/2025,20,6,20,15,32.41
29/10/2025,20,6,20,20,20.95
29/10/2025,20,6,20,25,14.34
29/10/2025,20,6,20,30,7.53
29/10/2025,20,6,20,35,3.41
29/10/2025,20,6,20,40,0.33
12/11/2024,25,6,20,0,52.48
12/11/2024,25,6,20,5,39.12
12/11/2024,25,6,20,10,29.88
12/11/2024,25,6,20,15,25.72
12/11/2024,25,6,20,20,20.39
12/11/2024,25,6,20,25,15.67
12/11/2024,25,6,20,30,11.49
12/11/2024,25,6,20,35,5.88
12/11/2024,25,6,20,40,2.98
12/11/2024,25,6,20,45,0.34
19/11/2024,25,6,20,0,99.61
19/11/2024,25,6,20,5,46.36
19/11/2024,25,6,20,10,45.75
19/11/2024,25,6,20,15,42.77
19/11/2024,25,6,20,20,38.34
19/11/2024,25,6,20,25,30.65
19/11/2024,25,6,20,30,25.03
19/11/2024,25,6,20,35,15.21
19/11/2024,25,6,20,40,9.65
19/11/2024,25,6,20,45,0.89
8/1/2025,25,6,60,0,56.53
8/1/2025,25,6,60,5,48.38
8/1/2025,25,6,60,10,34.63
8/1/2025,25,6,60,15,20.73
8/1/2025,25,6,60,20,7.91
8/1/2025,25,6,60,25,0.34
23/1/2025,25,6,60,0,89.45
23/1/2025,25,6,60,5,50.47
23/1/2025,25,6,60,10,33.02
23/1/2025,25,6,60,15,20.19
23/1/2025,25,6,60,20,4.5
23/1/2025,25,6,60,25,0.31
19/2/2025,25,4,20,0,32.19
19/2/2025,25,4,20,5,30.19
19/2/2025,25,4,20,10,27.66
19/2/2025,25,4,20,15,26.34
19/2/2025,25,4,20,20,20.97
19/2/2025,25,4,20,25,5.78
19/2/2025,25,4,20,30,0.77
20/2/2025,25,2,20,0,73.11
20/2/2025,25,2,20,5,55.85
20/2/2025,25,2,20,10,53.28
20/2/2025,25,2,20,15,52.99
20/2/2025,25,2,20,20,51.34
20/2/2025,25,2,20,25,48.91
20/2/2025,25,2,20,30,44.82
20/2/2025,25,2,20,35,38.65
20/2/2025,25,2,20,40,30.72
20/2/2025,25,2,20,45,26
20/2/2025,25,2,20,50,21.08
20/2/2025,25,2,20,55,9.4
20/2/2025,25,2,20,60,4.62
20/2/2025,25,2,20,65,1.8
20/2/2025,25,2,20,70,0.31
22/2/2025,25,2,100,0,40.2
22/2/2025,25,2,100,5,28.3
22/2/2025,25,2,100,10,29.02
22/2/2025,25,2,100,15,29.13
22/2/2025,25,2,100,20,30.03
22/2/2025,25,2,100,25,30.13
22/2/2025,25,2,100,30,30.05
22/2/2025,25,2,100,35,29.54
22/2/2025,25,2,100,40,30.33
22/2/2025,25,2,100,45,31.13
22/2/2025,25,2,100,50,30.92
22/2/2025,25,2,100,55,30.35
22/2/2025,25,2,100,60,29.84
22/2/2025,25,2,100,65,30.52
22/2/2025,25,2,100,70,28.89
22/2/2025,25,2,100,75,28.54
22/2/2025,25,2,100,80,26.97
22/2/2025,25,2,100,85,26.08
22/2/2025,25,2,100,90,26.41
22/2/2025,25,2,100,95,21.12
22/2/2025,25,2,100,100,20.22
22/2/2025,25,2,100,105,20.46
22/2/2025,25,2,100,110,20.29
22/2/2025,25,2,100,115,20.83
22/2/2025,25,2,100,120,20.86
22/2/2025,25,2,100,125,21.11
24/2/2025,25,4,20,0,47.63
24/2/2025,25,4,20,5,34.44
24/2/2025,25,4,20,10,25.63
24/2/2025,25,4,20,15,10.24
24/2/2025,25,4,20,20,0.31
25/2/2025,25,4,20,0,36.79
25/2/2025,25,4,20,5,27.01
25/2/2025,25,4,20,10,20.98
25/2/2025,25,4,20,15,7.87
25/2/2025,25,4,20,20,0.33
26/2/2025,25,4,30,0,44.6
26/2/2025,25,4,30,5,28.92
26/2/2025,25,4,30,10,27.45
26/2/2025,25,4,30,15,20.34
26/2/2025,25,4,30,20,5.44
26/2/2025,25,4,30,25,0.33
27/2/2025,25,2,60,0,65.21
27/2/2025,25,2,60,5,53.78
27/2/2025,25,2,60,10,50.98
27/2/2025,25,2,60,15,49.68
27/2/2025,25,2,60,20,48.32
27/2/2025,25,2,60,25,48.35
27/2/2025,25,2,60,30,46.07
27/2/2025,25,2,60,35,44.39
27/2/2025,25,2,60,40,41.07
27/2/2025,25,2,60,45,38.88
27/2/2025,25,2,60,50,37.48
